Left Cerebellum.Posterior Lobe.Inferior Semi-Lunar Lobule.Gray Matter.*,
Right Cerebellum.Posterior Lobe.Inferior Semi-Lunar Lobule.Gray Matter.*,
Left Cerebellum.Posterior Lobe.Cerebellar Tonsil.Gray Matter.*,
Right Cerebellum.Posterior Lobe.Cerebellar Tonsil.Gray Matter.*,357
Left Brainstem.Medulla.*.*.*,370
Right Brainstem.Medulla.*.*.*,372
*.*.Inferior Temporal Gyrus.*.*,
Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20,301
Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.*.*,
Left Cerebrum.Temporal Lobe.*.*.*,
Right Cerebrum.Temporal Lobe.*.*.*,
Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.*.*,
Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.White Matter.*,
Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 20,
Left Cerebrum.Limbic Lobe.Uncus.*.*,
Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 20,
Right Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20,
Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.White Matter.*,
Left Cerebrum.Limbic Lobe.*.*.*,
Right Cerebrum.Limbic Lobe.*.*.*,
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.White Matter.*,
Left Cerebrum.Limbic Lobe.Uncus.White Matter.*,305
Right Cerebrum.Limbic Lobe.*.Gray Matter.Brodmann area 20,
Right Cerebrum.Limbic Lobe.Uncus.White Matter.*,134
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.White Matter.*,
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 20,
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.*.*,
Right Cerebrum.Limbic Lobe.Uncus.*.*,
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.*.*,303
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 38,
Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 38,
Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 38,
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 38,
Left Cerebrum.Limbic Lobe.Middle Temporal Gyrus.White Matter.*,
Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38,
Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.White Matter.*,230
Left Cerebrum.Temporal Lobe.Superior Temporal Gyrus.*.*,
Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38,
Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.White Matter.*,
Right Cerebrum.Temporal Lobe.Superior Temporal Gyrus.*.*,
Right Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 38,
Left Cerebrum.Temporal Lobe.*.Gray Matter.Brodmann area 38,
Right Cerebrum.Frontal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 20,
Right Cerebrum.*.Inferior Temporal Gyrus.*.*,
Right Cerebrum.*.*.*.*,
Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.White Matter.*,
Right Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.White Matter.*,134
Left Cerebrum.Temporal Lobe.Sub-Gyral.White Matter.*,
Right Cerebrum.Temporal Lobe.Sub-Gyral.White Matter.*,
Left Cerebrum.Limbic Lobe.*.Gray Matter.Brodmann area 20,
*.*.Middle Temporal Gyrus.*.*,
Right Cerebrum.Limbic Lobe.Sub-Gyral.White Matter.*,135
Left Cerebrum.Limbic Lobe.Superior Temporal Gyrus.White Matter.*,
Right Cerebrum.Limbic Lobe.Superior Temporal Gyrus.White Matter.*,
Right Cerebrum.*.Uncus.*.*,
Left Cerebrum.Limbic Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38,
Right Cerebrum.Limbic Lobe.Superior Temporal Gyrus.Gray Matter.Brodmann area 38,
Left Cerebellum.Posterior Lobe.Pyramis.Gray Matter.*,355
Right Cerebellum.Posterior Lobe.Pyramis.Gray Matter.*,357
Left Cerebellum.Posterior Lobe.Uvula.Gray Matter.*,359
Right Cerebellum.Posterior Lobe.Uvula.Gray Matter.*,360
Right Cerebellum.*.*.Gray Matter.*,
Left Cerebellum.*.*.Gray Matter.*,
Left Cerebellum.Posterior Lobe.Uvula of Vermis.Gray Matter.*,
Right Cerebellum.Posterior Lobe.Uvula of Vermis.Gray Matter.*,
Right Cerebellum.Sub-lobar.Fourth Ventricle.Cerebro-Spinal Fluid.*,371
Left Cerebellum.Sub-lobar.Fourth Ventricle.Cerebro-Spinal Fluid.*,371
Left Brainstem.Pons.*.*.*,
Right Brainstem.Pons.*.*.*,
*.Limbic Lobe.Uncus.*.*,
Left Cerebrum.*.*.*.*,
Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 36,
Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 36,
Right Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 21,
Left Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 21,292
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 21,129
Left Cerebellum.Posterior Lobe.Tuber.Gray Matter.*,355
Right Cerebellum.Posterior Lobe.Tuber.Gray Matter.*,
Left Cerebellum.Posterior Lobe.Pyramis of Vermis.Gray Matter.*,359
Right Cerebellum.Posterior Lobe.Pyramis of Vermis.Gray Matter.*,359
Left Cerebellum.Anterior Lobe.Nodule.Gray Matter.*,365
Left Cerebellum.Anterior Lobe.*.Gray Matter.*,
Right Cerebellum.Anterior Lobe.Nodule.Gray Matter.*,365
Right Cerebellum.Anterior Lobe.*.Gray Matter.*,354
Left Cerebellum.Anterior Lobe.Culmen.Gray Matter.*,348
Right Cerebellum.Anterior Lobe.Culmen.Gray Matter.*,351
*.Temporal Lobe.*.*.*,
*.Temporal Lobe.Inferior Temporal Gyrus.*.*,
Right Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Inferior Temporal Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 28,
Right Cerebrum.Limbic Lobe.Uncus.Gray Matter.Brodmann area 28,
Left Cerebrum.Limbic Lobe.Sub-Gyral.White Matter.*,
Left Cerebrum.Temporal Lobe.Inferior Temporal Gyrus.Gray Matter.Brodmann area 21,
Left Cerebrum.*.Inferior Temporal Gyrus.*.*,
Left Cerebrum.*.Middle Temporal Gyrus.*.*,
Left Cerebrum.*.Superior Temporal Gyrus.*.*,172
Left Cerebrum.*.Superior Temporal Gyrus.Gray Matter.Brodmann area 38,
Left Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.*.Orbital Gyrus.Gray Matter.Brodmann area 11,
*.Frontal Lobe.Orbital Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Orbital Gyrus.*.*,
Left Cerebrum.Frontal Lobe.*.*.*,
Inter-Hemispheric.*.*.*.*,
Right Cerebrum.Frontal Lobe.*.*.*,
Right Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Orbital Gyrus.*.*,
*.*.Orbital Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Orbital Gyrus.White Matter.*,
Right Cerebrum.Frontal Lobe.Orbital Gyrus.White Matter.*,
Left Cerebellum.Posterior Lobe.Tuber of Vermis.Gray Matter.*,353
Right Cerebellum.Posterior Lobe.Tuber of Vermis.Gray Matter.*,353
Left Cerebellum.Anterior Lobe.Pyramis.Gray Matter.*,353
Right Cerebellum.Anterior Lobe.Pyramis.Gray Matter.*,354
Right Cerebellum.Anterior Lobe.*.Gray Matter.Dentate,354
Left Cerebellum.Anterior Lobe.*.Gray Matter.Dentate,352
Left Cerebellum.Posterior Lobe.Culmen.Gray Matter.*,
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.*.*,
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.*.*,
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20,291
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.*.*,
*.Limbic Lobe.Parahippocampal Gyrus.*.*,
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.*.*,
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.White Matter.*,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 36,
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 36,
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.White Matter.*,128
Right Cerebrum.Limbic Lobe.Fusiform Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.White Matter.*,295
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.White Matter.*,
Right Cerebrum.Limbic Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 20,
Left Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 36,
Left Cerebrum.Limbic Lobe.Fusiform Gyrus.White Matter.*,
Right Cerebrum.Limbic Lobe.Fusiform Gyrus.White Matter.*,
*.*.Fusiform Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 35,
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 35,
Left Cerebrum.Frontal Lobe.Rectal Gyrus.Gray Matter.Brodmann area 11,
Left Cerebrum.Frontal Lobe.Rectal Gyrus.*.*,
Right Cerebrum.Frontal Lobe.Rectal Gyrus.*.*,
Right Cerebrum.Frontal Lobe.Rectal Gyrus.Gray Matter.Brodmann area 11,
Left Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 47,
Right Cerebrum.Frontal Lobe.Orbital Gyrus.Gray Matter.Brodmann area 47,
Left Cerebrum.Frontal Lobe.Rectal Gyrus.White Matter.*,280
Right Cerebrum.Frontal Lobe.Rectal Gyrus.White Matter.*,
Inter-Hemispheric.*.Rectal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.Gray Matter.Brodmann area 11,
Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.*.*,
Left Cerebrum.Frontal Lobe.Superior Frontal Gyrus.White Matter.*,
Right Cerebrum.Frontal Lobe.Superior Frontal Gyrus.White Matter.*,
Left Cerebellum.Posterior Lobe.Declive.Gray Matter.*,
Right Cerebellum.Posterior Lobe.Declive.Gray Matter.*,
Left Cerebellum.Posterior Lobe.Declive of Vermis.Gray Matter.*,
Right Cerebellum.Posterior Lobe.Declive of Vermis.Gray Matter.*,
Left Cerebellum.Posterior Lobe.*.Gray Matter.Dentate,352
Left Cerebellum.Posterior Lobe.Fastigium.Gray Matter.*,
Right Cerebellum.Anterior Lobe.Fastigium.Gray Matter.*,354
Right Cerebellum.Posterior Lobe.*.Gray Matter.Dentate,354
Left Cerebellum.Anterior Lobe.Fastigium.Gray Matter.*,350
Right Cerebrum.Temporal Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 36,100
Right Cerebrum.*.Fusiform Gyrus.Gray Matter.Brodmann area 20,
*.Temporal Lobe.Fusiform Gyrus.*.*,
Left Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 28,296
Right Cerebrum.Limbic Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 28,
